transacao_id,cliente_id,tipo,vlr,data
T800001,C0025,deposito,251.0,2026-06-01
T800002,C0143,deposito,252.0,2026-06-01
T800003,C0016,deposito,253.0,2026-06-01
T800004,C0014,deposito,254.0,2026-06-01
T800005,C0086,deposito,255.0,2026-06-01
T800006,C0061,deposito,256.0,2026-06-01
T800007,C0121,deposito,257.0,2026-06-01
T800008,C0091,deposito,258.0,2026-06-01
T800009,C0156,deposito,259.0,2026-06-01
T800010,C0172,deposito,260.0,2026-06-01
T800011,C0154,deposito,261.0,2026-06-01
T800012,C0182,deposito,262.0,2026-06-01
T800013,C0192,deposito,263.0,2026-06-01
T800014,C0012,deposito,264.0,2026-06-01
T800015,C0002,deposito,265.0,2026-06-01
T800016,C0065,deposito,266.0,2026-06-01
T800017,C0130,deposito,267.0,2026-06-01
T800018,C0159,deposito,268.0,2026-06-01
T800019,C0098,deposito,269.0,2026-06-01
T800020,C0078,deposito,270.0,2026-06-01
