transacao_id,cliente_id,tipo,valor,data
T000001,C0005,cdb_aplicacao,-2246.39,2026-01-24
T000002,C0178,pix,-1115.77,2026-03-04
T000003,C0095,pix,-3323.16,2026-05-02
T000004,C0109,compra_cartao,-2659.3,2026-07-10
T000005,C0180,compra_cartao,-1660.65,2026-04-27
T000006,C0060,pix,-1540.05,2026-01-31
T000007,C0191,saque,-1584.58,2026-05-18
T000008,C0190,saque,-965.79,2026-05-04
T000009,C0195,pix,-3625.68,2026-05-15
T000010,C0026,compra_cartao,-1422.16,2026-08-02
T000011,C0093,saque,-1488.27,2026-02-15
T000012,C0137,pix,-80.6,2026-02-02
T000013,C0014,pix,-237.12,2026-05-22
T000014,C0033,pix,-3490.11,2026-06-13
T000015,C0004,cdb_aplicacao,-521.91,2026-05-27
T000016,C0113,pix,-2352.29,2026-03-29
T000017,C0065,saque,-4827.83,2026-08-29
T000018,C0017,cdb_aplicacao,-579.29,2026-04-13
T000019,C0162,cdb_aplicacao,-379.67,2026-06-25
T000020,C0145,deposito,767.12,2026-03-19
T000021,C0031,deposito,4969.65,2026-05-23
T000022,C0159,cdb_aplicacao,-3035.53,2026-02-27
T000023,C0114,compra_cartao,-1908.09,2026-03-18
T000024,C0079,compra_cartao,-4950.26,2026-05-26
T000025,C0190,compra_cartao,-310.55,2026-01-26
T000026,C0068,saque,-3131.32,2026-06-19
T000027,C0045,deposito,793.71,2026-05-22
T000028,C0105,deposito,791.1,2026-04-26
T000029,C0009,compra_cartao,-2354.86,2026-03-01
T000030,C0180,pix,-3537.71,2026-08-09
T000031,C0060,cdb_aplicacao,-365.19,2026-08-25
T000032,C0161,pix,-3941.26,2026-05-31
T000033,C0140,saque,-2131.44,2026-02-27
T000034,C0037,saque,-4542.97,2026-01-19
T000035,C0079,deposito,837.95,2026-06-02
T000036,C0113,compra_cartao,-4606.75,2026-02-01
T000037,C0180,cdb_aplicacao,-3446.5,2026-04-14
T000038,C0127,pix,-2507.36,2026-04-23
T000039,C0111,deposito,2994.2,2026-07-08
T000040,C0008,pix,-3022.53,2026-01-24
T000041,C0148,saque,-4809.94,2026-05-31
T000042,C0173,deposito,4997.87,2026-07-30
T000043,C0196,pix,-2885.47,2026-07-13
T000044,C0167,saque,-2357.8,2026-04-24
T000045,C0150,pix,-915.63,2026-04-22
T000046,C0121,cdb_aplicacao,-4845.59,2026-03-31
T000047,C0172,cdb_aplicacao,-1673.21,2026-01-27
T000048,C0178,saque,-1655.72,2026-05-07
T000049,C0103,pix,-3316.29,2026-07-28
T000050,C0023,compra_cartao,-193.12,2026-03-22
T000051,C0198,pix,-1623.14,2026-04-14
T000052,C0001,compra_cartao,-4126.39,2026-06-18
T000053,C0014,compra_cartao,-2315.26,2026-02-18
T000054,C0194,compra_cartao,-1815.28,2026-05-08
T000055,C0053,cdb_aplicacao,-3802.35,2026-03-10
T000056,C0074,compra_cartao,-663.76,2026-04-23
T000057,C0162,cdb_aplicacao,-615.92,2026-06-05
T000058,C0080,saque,-3551.82,2026-05-22
T000059,C0024,deposito,2765.73,2026-02-27
T000060,C0031,deposito,2312.62,2026-06-15
T000061,C0184,saque,-2496.89,2026-03-16
T000062,C0107,compra_cartao,-3530.0,2026-08-02
T000063,C0063,cdb_aplicacao,-4901.42,2026-04-27
T000064,C0049,compra_cartao,-731.76,2026-08-24
T000065,C0035,compra_cartao,-2546.12,2026-08-10
T000066,C0107,deposito,1388.47,2026-03-29
T000067,C0001,compra_cartao,-1343.19,2026-03-14
T000068,C0149,pix,-4189.0,2026-06-18
T000069,C0115,cdb_aplicacao,-4327.65,2026-05-18
T000070,C0142,cdb_aplicacao,-1732.17,2026-07-15
T000071,C0083,compra_cartao,-1892.28,2026-08-11
T000072,C0062,saque,-4904.07,2026-05-27
T000073,C0199,cdb_aplicacao,-1175.48,2026-04-16
T000074,C0122,deposito,1597.7,2026-06-30
T000075,C0170,cdb_aplicacao,-1936.53,2026-07-22
T000076,C0010,saque,-2481.69,2026-02-02
T000077,C0085,compra_cartao,-4827.11,2026-08-11
T000078,C0113,deposito,4372.21,2026-01-26
T000079,C0004,compra_cartao,-4553.1,2026-07-04
T000080,C0168,saque,-2055.79,2026-02-09
T000081,C0068,deposito,2352.76,2026-03-28
T000082,C0167,compra_cartao,-3466.6,2026-01-21
T000083,C0137,pix,-4263.18,2026-04-08
T000084,C0195,pix,-3137.73,2026-05-05
T000085,C0018,compra_cartao,-189.14,2026-03-02
T000086,C0192,pix,-4987.16,2026-01-24
T000087,C0195,cdb_aplicacao,-4891.91,2026-06-12
T000088,C0178,deposito,2223.96,2026-03-18
T000089,C0015,deposito,239.49,2026-03-17
T000090,C0038,pix,-1880.46,2026-03-04
T000091,C0175,compra_cartao,-2066.14,2026-07-22
T000092,C0008,saque,-858.22,2026-06-06
T000093,C0062,cdb_aplicacao,-3102.35,2026-05-08
T000094,C0119,compra_cartao,-724.16,2026-06-13
T000095,C0171,pix,-2303.26,2026-01-03
T000096,C0174,cdb_aplicacao,-4507.04,2026-05-20
T000097,C0089,saque,-378.57,2026-05-31
T000098,C0109,pix,-3198.3,2026-06-26
T000099,C0078,pix,-2289.61,2026-02-20
T000100,C0028,cdb_aplicacao,-4268.14,2026-03-02
T000101,C0148,cdb_aplicacao,-2863.89,2026-03-17
T000102,C0169,pix,-119.48,2026-04-12
T000103,C0176,pix,-50.41,2026-07-19
T000104,C0191,deposito,4553.98,2026-05-08
T000105,C0059,pix,-3880.95,2026-06-05
T000106,C0049,pix,-1102.83,2026-06-08
T000107,C0185,pix,-3392.04,2026-07-16
T000108,C0161,saque,-3144.96,2026-06-15
T000109,C0113,deposito,1551.58,2026-01-09
T000110,C0034,compra_cartao,-1830.66,2026-01-24
T000111,C0107,pix,-1640.33,2026-02-14
T000112,C0139,saque,-669.48,2026-08-13
T000113,C0070,pix,-2658.95,2026-08-01
T000114,C0124,saque,-1292.28,2026-07-26
T000115,C0087,pix,-3735.33,2026-07-25
T000116,C0020,deposito,2346.97,2026-02-06
T000117,C0186,saque,-4302.1,2026-06-22
T000118,C0143,cdb_aplicacao,-4836.68,2026-04-04
T000119,C0004,deposito,3955.5,2026-03-09
T000120,C0095,compra_cartao,-626.71,2026-06-22
T000121,C0164,pix,-2926.95,2026-08-29
T000122,C0060,pix,-550.65,2026-05-01
T000123,C0144,deposito,3101.54,2026-03-25
T000124,C0017,compra_cartao,-1114.62,2026-06-12
T000125,C0078,cdb_aplicacao,-4547.84,2026-06-16
T000126,C0012,cdb_aplicacao,-592.21,2026-01-10
T000127,C0030,pix,-4979.68,2026-01-25
T000128,C0035,saque,-4437.42,2026-04-10
T000129,C0191,cdb_aplicacao,-1861.35,2026-06-28
T000130,C0191,compra_cartao,-2101.44,2026-07-06
T000131,C0168,saque,-4428.21,2026-01-26
T000132,C0072,cdb_aplicacao,-3082.1,2026-01-09
T000133,C0114,pix,-1094.18,2026-03-02
T000134,C0176,pix,-505.78,2026-04-05
T000135,C0166,compra_cartao,-4509.46,2026-04-02
T000136,C0049,deposito,1996.72,2026-02-01
T000137,C0055,cdb_aplicacao,-467.45,2026-06-14
T000138,C0013,compra_cartao,-4855.76,2026-07-21
T000139,C0033,pix,-1225.41,2026-07-21
T000140,C0196,compra_cartao,-1033.98,2026-05-22
T000141,C0060,saque,-2936.05,2026-03-26
T000142,C0153,saque,-3945.33,2026-01-01
T000143,C0038,pix,-4293.45,2026-02-03
T000144,C0045,compra_cartao,-1260.76,2026-01-29
T000145,C0092,deposito,667.7,2026-07-22
T000146,C0005,saque,-2948.38,2026-02-14
T000147,C0190,pix,-271.47,2026-04-18
T000148,C0017,compra_cartao,-577.11,2026-05-02
T000149,C0132,cdb_aplicacao,-3892.31,2026-06-01
T000150,C0057,deposito,2265.51,2026-06-07
T000151,C0169,deposito,3638.94,2026-05-14
T000152,C0008,pix,-2295.63,2026-01-16
T000153,C0110,cdb_aplicacao,-4238.02,2026-06-25
T000154,C0114,deposito,2456.44,2026-01-19
T000155,C0038,deposito,1617.34,2026-01-17
T000156,C0163,saque,-1382.33,2026-05-30
T000157,C0098,compra_cartao,-3563.64,2026-06-02
T000158,C0130,compra_cartao,-1481.54,2026-06-04
T000159,C0180,cdb_aplicacao,-504.9,2026-01-30
T000160,C0056,compra_cartao,-3606.99,2026-04-21
T000161,C0106,cdb_aplicacao,-4441.57,2026-03-28
T000162,C0187,cdb_aplicacao,-1999.66,2026-01-25
T000163,C0171,pix,-2139.55,2026-03-07
T000164,C0176,pix,-4768.43,2026-08-25
T000165,C0008,cdb_aplicacao,-345.0,2026-01-24
T000166,C0190,cdb_aplicacao,-491.86,2026-04-06
T000167,C0151,saque,-2786.29,2026-05-24
T000168,C0032,compra_cartao,-1654.93,2026-04-16
T000169,C0193,pix,-4369.3,2026-04-19
T000170,C0154,deposito,4842.31,2026-03-21
T000171,C0130,pix,-526.97,2026-02-24
T000172,C0058,saque,-3287.11,2026-08-05
T000173,C0143,deposito,1757.07,2026-04-05
T000174,C0147,deposito,3815.4,2026-02-27
T000175,C0197,cdb_aplicacao,-4227.32,2026-07-29
T000176,C0165,compra_cartao,-3071.73,2026-05-23
T000177,C0169,deposito,3048.88,2026-08-01
T000178,C0070,pix,-154.48,2026-06-29
T000179,C0090,pix,-4608.47,2026-01-02
T000180,C0145,saque,-4350.61,2026-06-18
T000181,C0190,cdb_aplicacao,-357.23,2026-06-12
T000182,C0136,deposito,467.87,2026-02-25
T000183,C0088,cdb_aplicacao,-2104.96,2026-02-10
T000184,C0084,pix,-1565.07,2026-07-18
T000185,C0014,compra_cartao,-2985.16,2026-02-09
T000186,C0013,saque,-3774.64,2026-06-22
T000187,C0170,deposito,1367.79,2026-04-19
T000188,C0107,cdb_aplicacao,-3039.31,2026-03-11
T000189,C0030,saque,-3777.17,2026-03-30
T000190,C0174,cdb_aplicacao,-563.34,2026-06-23
T000191,C0171,compra_cartao,-2438.3,2026-03-20
T000192,C0154,deposito,1110.39,2026-01-15
T000193,C0055,deposito,1030.07,2026-07-16
T000194,C0075,saque,-3823.16,2026-03-25
T000195,C0192,deposito,48.57,2026-04-21
T000196,C0137,saque,-654.64,2026-06-30
T000197,C0172,saque,-2506.31,2026-07-26
T000198,C0190,pix,-369.66,2026-01-11
T000199,C0020,cdb_aplicacao,-103.52,2026-08-09
T000200,C0147,pix,-2883.04,2026-04-14
T000201,C0104,cdb_aplicacao,-1454.68,2026-01-06
T000202,C0159,pix,-867.65,2026-04-28
T000203,C0028,pix,-449.77,2026-03-04
T000204,C0135,cdb_aplicacao,-2948.47,2026-01-21
T000205,C0191,cdb_aplicacao,-4353.92,2026-03-28
T000206,C0044,saque,-1672.01,2026-01-20
T000207,C0136,compra_cartao,-3169.79,2026-05-11
T000208,C0090,saque,-4530.55,2026-03-31
T000209,C0038,saque,-1188.98,2026-03-07
T000210,C0040,saque,-875.76,2026-07-14
T000211,C0198,deposito,893.96,2026-06-10
T000212,C0145,cdb_aplicacao,-2325.13,2026-07-14
T000213,C0145,compra_cartao,-2250.04,2026-06-14
T000214,C0161,compra_cartao,-1622.81,2026-03-22
T000215,C0121,saque,-2204.42,2026-04-24
T000216,C0152,pix,-3983.69,2026-01-15
T000217,C0080,pix,-2541.61,2026-04-29
T000218,C0095,cdb_aplicacao,-197.66,2026-08-01
T000219,C0024,pix,-392.89,2026-06-07
T000220,C0119,compra_cartao,-2540.27,2026-05-29
T000221,C0190,compra_cartao,-4771.62,2026-08-18
T000222,C0147,deposito,2254.17,2026-06-16
T000223,C0122,saque,-1614.42,2026-05-09
T000224,C0116,saque,-4789.03,2026-01-27
T000225,C0008,pix,-4912.1,2026-05-10
T000226,C0182,saque,-205.32,2026-04-23
T000227,C0157,cdb_aplicacao,-2625.1,2026-02-10
T000228,C0073,pix,-1870.53,2026-04-10
T000229,C0174,cdb_aplicacao,-3874.58,2026-06-03
T000230,C0166,deposito,3948.24,2026-03-27
T000231,C0143,deposito,1655.16,2026-06-23
T000232,C0186,cdb_aplicacao,-1427.89,2026-08-07
T000233,C0086,compra_cartao,-4367.67,2026-01-21
T000234,C0090,compra_cartao,-3321.42,2026-03-21
T000235,C0182,cdb_aplicacao,-653.47,2026-08-29
T000236,C0097,deposito,1554.81,2026-06-14
T000237,C0172,pix,-4067.79,2026-06-29
T000238,C0172,compra_cartao,-476.33,2026-04-19
T000239,C0093,compra_cartao,-1815.52,2026-03-21
T000240,C0088,saque,-4756.33,2026-07-16
T000241,C0036,cdb_aplicacao,-968.11,2026-02-09
T000242,C0026,deposito,1486.0,2026-05-10
T000243,C0135,compra_cartao,-4177.25,2026-01-10
T000244,C0159,pix,-4383.2,2026-02-03
T000245,C0042,compra_cartao,-1889.83,2026-02-16
T000246,C0043,compra_cartao,-4047.13,2026-07-04
T000247,C0094,cdb_aplicacao,-228.03,2026-06-23
T000248,C0157,saque,-4848.25,2026-03-14
T000249,C0062,cdb_aplicacao,-1177.67,2026-03-21
T000250,C0050,cdb_aplicacao,-4520.83,2026-04-05
T000251,C0119,compra_cartao,-4922.35,2026-07-16
T000252,C0129,pix,-3892.84,2026-05-16
T000253,C0052,cdb_aplicacao,-4831.68,2026-07-25
T000254,C0065,compra_cartao,-700.61,2026-01-14
T000255,C0142,cdb_aplicacao,-4371.84,2026-08-28
